date,ydd_hrel,mjd_hrel,3003430_hrf,3003420_hrf,8000701_hrf,3003452_hrf,3003431_hrf,3003450_hrf,3003454_hrf,8000735_hrf,3004620_hwl
2023-05-17 20:00:00,8.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-17 21:00:00,8.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-17 22:00:00,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-17 23:00:00,8.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-18 00:00:00,8.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-18 01:00:00,8.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-18 02:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-18 03:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-18 04:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-18 05:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-18 06:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-18 07:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-18 08:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-18 09:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
2023-05-18 10:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34
2023-05-18 11:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.34
2023-05-18 12:00:00,8.662,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.35
2023-05-18 13:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
2023-05-18 14:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-18 15:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.47
2023-05-18 16:00:00,8.662,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.45
2023-05-18 17:00:00,8.662,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.43
2023-05-18 18:00:00,8.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42
2023-05-18 19:00:00,8.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41
2023-05-18 20:00:00,8.78,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.4
2023-05-18 21:00:00,8.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-18 22:00:00,8.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46
2023-05-18 23:00:00,8.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-19 00:00:00,8.835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-19 01:00:00,8.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-19 02:00:00,8.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-19 03:00:00,8.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-19 04:00:00,8.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-19 05:00:00,8.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-19 06:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-19 07:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-19 08:00:00,8.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-19 09:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-19 10:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-19 11:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-19 12:00:00,8.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-19 13:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-19 14:00:00,8.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-19 15:00:00,8.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-19 16:00:00,8.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-19 17:00:00,8.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-19 18:00:00,8.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-19 19:00:00,8.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-19 20:00:00,8.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-19 21:00:00,8.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-19 22:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-19 23:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-20 00:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-20 01:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-20 02:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-20 03:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-20 04:00:00,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-20 05:00:00,8.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-20 06:00:00,8.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-20 07:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-20 08:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-20 09:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-20 10:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-20 11:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-20 12:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-20 13:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-20 14:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-20 15:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-20 16:00:00,8.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-20 17:00:00,8.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-20 18:00:00,8.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-20 19:00:00,8.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-20 20:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-20 21:00:00,8.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-20 22:00:00,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
