date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-14 09:00:00,11.185,0.0,1.02,0.73
2024-06-14 10:00:00,11.191,0.0,1.02,0.73
2024-06-14 11:00:00,11.194,0.0,1.02,0.72
2024-06-14 12:00:00,11.19,0.0,1.02,0.73
2024-06-14 13:00:00,11.194,0.0,1.02,0.73
2024-06-14 14:00:00,11.203,0.0,1.01,0.73
2024-06-14 15:00:00,11.202,0.0,1.01,0.73
2024-06-14 16:00:00,11.17,0.0,1.01,0.73
2024-06-14 17:00:00,11.163,0.0,1.01,0.73
2024-06-14 18:00:00,11.148,0.0,1.01,0.73
2024-06-14 19:00:00,11.122,0.0,1.01,0.73
2024-06-14 20:00:00,11.126,0.0,1.01,0.73
2024-06-14 21:00:00,11.131,0.0,1.01,0.73
2024-06-14 22:00:00,11.127,0.0,1.01,0.73
2024-06-14 23:00:00,11.131,0.0,1.01,0.73
2024-06-15 00:00:00,11.131,0.0,1.01,0.73
2024-06-15 01:00:00,11.142,0.0,1.01,0.73
2024-06-15 02:00:00,11.135,0.0,1.01,0.73
2024-06-15 03:00:00,11.138,0.0,1.01,0.73
2024-06-15 04:00:00,11.141,0.0,1.01,0.73
2024-06-15 05:00:00,11.149,0.0,1.01,0.73
2024-06-15 06:00:00,11.14,0.0,1.01,0.73
2024-06-15 07:00:00,11.139,0.0,1.01,0.73
2024-06-15 08:00:00,11.136,0.0,1.02,0.73
2024-06-15 09:00:00,11.142,0.0,1.01,0.73
2024-06-15 10:00:00,11.139,0.0,1.01,0.73
2024-06-15 11:00:00,11.146,0.0,1.01,0.73
2024-06-15 12:00:00,11.139,0.0,1.02,0.73
2024-06-15 13:00:00,11.157,0.0,1.01,0.73
2024-06-15 14:00:00,11.154,0.0,1.01,0.73
2024-06-15 15:00:00,11.147,0.0,1.01,0.73
2024-06-15 16:00:00,11.147,0.0,1.01,0.72
2024-06-15 17:00:00,11.153,0.0,1.01,0.73
2024-06-15 18:00:00,11.153,0.0,1.02,0.73
2024-06-15 19:00:00,11.161,0.0,1.02,0.73
2024-06-15 20:00:00,11.169,0.0,1.01,0.73
2024-06-15 21:00:00,11.169,0.0,1.01,0.73
2024-06-15 22:00:00,11.165,0.0,1.01,0.72
2024-06-15 23:00:00,11.172,0.0,1.02,0.73
2024-06-16 00:00:00,11.175,0.0,1.01,0.73
2024-06-16 01:00:00,11.175,0.0,1.01,0.73
2024-06-16 02:00:00,11.159,0.0,1.01,0.73
2024-06-16 03:00:00,11.171,0.0,1.02,0.73
2024-06-16 04:00:00,11.177,0.0,1.01,0.73
2024-06-16 05:00:00,11.167,0.0,1.01,0.73
2024-06-16 06:00:00,11.181,0.0,1.02,0.73
2024-06-16 07:00:00,11.175,0.0,1.01,0.73
2024-06-16 08:00:00,11.148,0.0,1.01,0.73
2024-06-16 09:00:00,11.133,0.0,1.01,0.73
2024-06-16 10:00:00,11.143,0.0,1.01,0.73
2024-06-16 11:00:00,11.144,0.0,1.01,0.73
2024-06-16 12:00:00,11.146,0.0,1.01,0.73
2024-06-16 13:00:00,11.147,0.0,1.01,0.73
2024-06-16 14:00:00,11.141,0.0,1.01,0.72
2024-06-16 15:00:00,11.157,0.0,1.02,0.73
2024-06-16 16:00:00,11.149,0.0,1.01,0.73
2024-06-16 17:00:00,11.155,0.0,1.01,0.72
2024-06-16 18:00:00,11.147,0.0,1.01,0.72
2024-06-16 19:00:00,11.154,0.0,1.01,0.72
2024-06-16 20:00:00,11.152,0.0,1.01,0.73
2024-06-16 21:00:00,11.151,0.0,1.01,0.73
